
2304 atoms

2 atom types

-29.094147 79.904364 xlo xhi
-34.161392 74.872029 ylo yhi
0.000000 170.303001 zlo zhi

Masses

1 28.0855
2 15.9994

Atoms

48      1 2 0.0 59.011343 46.848142 37.008530
49      1 1 0.0 63.407745 36.976883 42.961732
50      1 1 0.0 66.129847 36.223489 46.059795
51      1 1 0.0 65.854896 27.666232 46.130450
52      1 1 0.0 66.795019 31.947096 45.820703
53      1 2 0.0 65.767105 28.859083 49.603227
54      1 2 0.0 66.302665 33.519479 44.111697
55      1 2 0.0 63.303967 34.886274 44.292685
56      1 2 0.0 66.108333 30.103055 45.397928
57      1 2 0.0 67.797088 30.750006 47.816201
58      1 2 0.0 63.276675 36.859655 41.154616
59      1 2 0.0 66.662605 33.661449 46.450056
60      1 2 0.0 64.746253 37.209175 44.107110
61      1 1 0.0 66.426439 26.534575 50.060312
62      1 1 0.0 68.859245 25.099689 53.158375
63      1 1 0.0 66.370023 16.907863 53.229030
64      1 1 0.0 68.390287 20.797356 52.919283
65      1 2 0.0 66.595226 18.082549 56.701807
66      1 2 0.0 68.323453 22.443666 51.210277
67      1 2 0.0 65.782954 24.542756 51.391265
68      1 2 0.0 67.247994 19.195111 52.496508
69      1 2 0.0 69.046851 19.380991 54.914781
70      1 2 0.0 66.269409 26.455435 48.253196
71      1 2 0.0 68.707921 22.487223 53.548636
72      1 2 0.0 67.779327 26.411059 51.205690
73      1 1 0.0 66.627854 15.666561 57.158892
74      1 1 0.0 68.604208 13.648773 60.256955
75      1 1 0.0 64.071747 6.385231 60.327610
76      1 1 0.0 67.033342 9.616110 60.017863
77      1 2 0.0 64.594470 7.461039 63.800387
78      1 2 0.0 67.396619 11.223229 58.308857
79      1 2 0.0 65.488875 13.910389 58.489845
80      1 2 0.0 65.513927 8.365749 59.595088
81      1 2 0.0 67.299289 8.077787 62.013361
82      1 2 0.0 66.455653 15.630946 55.351776
83      1 2 0.0 67.779198 11.165381 60.647216
84      1 2 0.0 67.902167 15.195722 58.304270
85      1 1 0.0 63.998152 5.119573 64.257472
86      1 1 0.0 65.382259 2.657523 67.355535
87      1 1 0.0 59.117980 -3.178662 67.426190
88      1 1 0.0 62.817419 -0.828389 67.116443
89      1 2 0.0 59.902309 -2.275650 70.898967
90      1 2 0.0 63.585847 0.629116 65.407437
91      1 2 0.0 62.441937 3.719712 65.588425
92      1 2 0.0 61.025280 -1.640954 66.693668
93      1 2 0.0 62.674475 -2.382974 69.111941
94      1 2 0.0 63.822611 5.129930 62.450356
95      1 2 0.0 63.940250 0.473837 67.745796
96      1 2 0.0 65.106332 4.333762 65.402850
97      1 1 0.0 58.718016 -4.381714 71.356052
98      1 1 0.0 59.414776 -7.118860 74.454115
99      1 1 0.0 51.849094 -11.126689 74.524770
100     1 1 0.0 56.032189 -9.818507 74.215023
101     1 2 0.0 52.841137 -10.458518 77.997547
102     1 2 0.0 57.152970 -8.610761 72.506017
103     1 2 0.0 56.851491 -5.329081 72.687005
104     1 2 0.0 54.090463 -10.137445 73.792248
105     1 2 0.0 55.490177 -11.282539 76.210521
106     1 2 0.0 58.551197 -4.326097 69.548936
107     1 2 0.0 57.454846 -8.852801 74.844376
108     1 2 0.0 59.583921 -5.428505 72.501430
109     1 1 0.0 51.150240 -12.184475 78.454632
110     1 1 0.0 51.111780 -15.008650 81.552695
111     1 1 0.0 42.764526 -16.912748 81.623350
112     1 1 0.0 47.143861 -16.736541 81.313603
113     1 2 0.0 43.896121 -16.525327 85.096127
114     1 2 0.0 48.539987 -15.861536 79.604597
115     1 2 0.0 49.101654 -12.614254 79.785585
116     1 2 0.0 45.185961 -16.539939 80.890828
117     1 2 0.0 46.240021 -18.009428 83.309101
118     1 2 0.0 51.003606 -12.087418 76.647516
119     1 2 0.0 48.768595 -16.173708 81.942956
120     1 2 0.0 51.714376 -13.420321 79.600010
121     1 1 0.0 41.814801 -17.752588 85.553212
122     1 1 0.0 41.043763 -20.469744 88.651275
123     1 1 0.0 32.488470 -20.139283 88.721930
124     1 1 0.0 36.763145 -21.107158 88.412183
125     1 2 0.0 33.681866 -20.059232 92.194707
126     1 2 0.0 38.338689 -20.625016 86.703177
127     1 2 0.0 39.724910 -17.635249 86.884165
128     1 2 0.0 34.923598 -20.408524 87.989408
129     1 2 0.0 35.559579 -22.101440 90.407681
130     1 2 0.0 41.698426 -17.620760 83.746096
131     1 2 0.0 38.478321 -20.985870 89.041536
