
20736 atoms

2 atom types

-44.338389 95.150237 xlo xhi
-49.400735 90.120529 ylo yhi
0.000000 170.354732 zlo zhi

Masses

1 28.0855
2 15.9994

Atoms

41      1 2 0.0 75.890927 39.918647 33.061520
42      1 2 0.0 73.551472 45.876178 28.334575
43      1 2 0.0 71.543344 47.245568 27.604151
44      1 2 0.0 74.635860 41.839418 29.528524
45      1 2 0.0 76.107226 42.425022 31.777745
46      1 2 0.0 70.046128 49.796956 25.003177
47      1 2 0.0 74.527389 46.132250 30.523516
48      1 2 0.0 71.748402 50.353815 28.079654
49      1 1 0.0 76.784752 37.185802 33.743957
50      1 1 0.0 79.298900 35.704830 37.165509
51      1 1 0.0 78.164238 25.146576 37.139895
52      1 1 0.0 79.236322 30.443759 37.113718
53      1 2 0.0 79.245223 26.131355 40.160100
54      1 2 0.0 78.534283 32.492156 35.433155
55      1 2 0.0 76.950998 34.336340 34.702731
56      1 2 0.0 78.532411 28.312284 36.627104
57      1 2 0.0 80.105406 28.495417 38.876325
58      1 2 0.0 76.168231 37.189148 32.101757
59      1 2 0.0 79.543217 32.485825 37.622096
60      1 2 0.0 77.956731 37.284517 35.178234
61      1 1 0.0 79.398175 23.260123 40.842537
62      1 1 0.0 81.441100 21.176695 44.264089
63      1 1 0.0 77.601716 11.276022 44.238475
64      1 1 0.0 80.013512 16.112627 44.212298
65      1 2 0.0 78.901472 11.946061 47.258680
66      1 2 0.0 79.867895 18.273087 42.531735
67      1 2 0.0 78.818239 20.465353 41.801311
68      1 2 0.0 78.779892 14.237299 43.725684
69      1 2 0.0 80.346437 14.005377 45.974905
70      1 2 0.0 78.803703 23.423566 39.200337
71      1 2 0.0 80.840522 18.004789 44.720676
72      1 2 0.0 80.555543 23.050893 42.276814
73      1 1 0.0 78.303042 9.133723 47.941117
74      1 1 0.0 79.734376 6.590988 51.362669
75      1 1 0.0 73.454071 -1.971835 51.337055
76      1 1 0.0 77.039867 2.071873 51.310878
77      1 2 0.0 74.883292 -1.662574 54.357260
78      1 2 0.0 77.460677 4.195951 49.630315
79      1 2 0.0 77.016771 6.585670 48.899891
80      1 2 0.0 75.361298 0.581544 50.824264
81      1 2 0.0 76.813757 -0.049499 53.073485
